subNo,IP,IP1,IP2,IP3,IP4
1,2.61144685819872,2.43139943976677,2.3993211245294,2.81434764489696,2.96621107092326
2,1.32091617737053,1.55625789319729,1.63420432152156,1.01909612945336,1.07937885118405
3,1.97970602642264,2.0333885560937,1.99668616821313,1.87728161029549,2.03414884069301
4,2.20034042492229,2.10004209753142,2.1668612522564,2.23387741672297,2.30114513562715
5,2.01663475104958,2.03333071625776,2.03327152302829,2.00331841249854,1.96672847820954
6,1.9872916863351,1.71241869843244,2.03279015471668,2.24219895172837,1.94921787252725
7,1.8166532010858,1.90070373176168,1.83327152537423,1.80333414533103,1.70000403985096
8,1.98891290476066,1.90070373176168,1.99668136763527,1.90070373176169,1.90070373176168
9,1.96477449360302,1.96668577109992,1.96213303153448,1.90042996206775,2.03338855609369
10,1.95022833757051,1.96666943138777,1.996681367787,1.99668136772787,1.90000000007446
11,1.61520856687226,1.56531198138095,1.76672848315871,1.63198326074616,1.48764627616839
12,1.81581281486099,1.79666582065074,1.80333414535781,1.80333414533103,1.83327152537423
13,1.38316733921583,1.49992401202169,1.30002221483307,1.22876291216086,1.50000000844832
14,1.9500862088484,1.99668136789925,1.96666943138777,1.90070373176169,1.96666943138777
15,1.79999997002385,1.90079452736121,1.8033341452901,1.76672848315871,1.70000403985096
16,1.46667327713611,1.50000000844832,1.36660437040574,1.50000600716668,1.50000000844832
17,2.20049194693755,2.03504826530726,2.00331841257668,2.10000001802896,2.63365552511544
18,1.19989999128626,1.43333707692091,1.23338471090425,0.966787975139464,1.16574225186039
19,1.82871119540774,1.9012964386361,1.90070373176168,1.65286295760395,1.80333414522986
20,0.286796121238625,0.378366215985064,0.1,0.629526514810294,0.256848485965514
21,1.48334664894767,1.76666965529248,1.63333676089067,1.40343209537624,1.10000096246616
22,1.87781320382226,1.76666965529248,1.90070373176168,1.96801919557749,1.90010317186416
23,1.10517161276962,1.28759815452437,1.10815140943531,0.947984199097001,1.08351945277985
24,1.88310221972312,1.90077886739466,1.90068634877276,1.90050664542278,1.83333428176269
25,1.89991954861388,1.90070373176168,1.9000059997591,1.99667831237874,1.83333084036574
26,1.74373184931227,1.548346665913,1.75154498176603,1.80333414530508,1.80333769296929
27,2.08334454288092,1.99668136791878,2.10000000001048,2.09983678497426,2.16667203251949
28,0.610234788498532,1.19649357365582,0.42090052889695,0.588481694706913,0.287688907200683
29,2.06757538757764,1.83327152537423,2.09974250701184,2.03556631841968,2.30547556010121
30,3.40196127484603,0.946060021999797,1.31760754282753,0.1,0.1
31,1.31560702495362,1.29754069194063,1.36629457977517,1.30002221483307,1.29353893395067
32,1.98891290477616,1.90070373176168,1.99668136763355,1.90070373176168,1.90070373176168
33,2.1502255647541,2.09960269635508,2.23333440605643,2.0994932294042,2.19666741231497
34,1.6833165910104,1.83333084036574,1.76667015849331,1.43303354076647,1.69993495831433
36,2.96275925255804,1.89964219750017,1.92303090184015,4,4
37,0.507504478482409,1.05565403487196,0.833340089664401,0.24280221610178,0.0687649442641596
38,1.83057390089683,1.90038148680196,1.83333614961508,1.83327152537423,1.76667015849331
39,1.94221476638507,1.96674363191424,2.00314952573201,2.01676559055166,1.75317152096273
40,1.90000109161263,1.83330885962468,1.90070373176168,1.90070373176168,1.96667306731878
41,1.94004923814618,1.96666549919102,1.90070373176168,1.96667862514414,1.90116288863025
42,1.51654283439905,1.90070373176168,1.80333414537111,1.43327168193147,0.900114238359896
43,1.56713962980869,1.70000000079139,1.59662504350841,1.59662504356838,1.40343209532155
44,0.05888699214807,0.518389456045087,0.1,0.222041511180535,0.0132180956388015
45,1.8,1.90070373176168,1.80333414537176,1.79666582064831,1.70131402679487
47,1.93343118778305,1.90070373176168,1.99668136763355,1.90070373176168,1.96666936645402
48,1.16423184553636,1.63230093029598,1.3661353572556,0.803621655661977,0.833340089664401
49,1.9333311648244,1.96674363191424,1.90000191940045,1.96671205668133,1.90085903022595
50,1.73324848429429,1.83337109184804,1.76672848315871,1.48967572099795,1.83333704701318
51,1.96667216649722,1.99668136791878,1.9666676104639,1.90064890121078,2.03333642477745
53,1.54852557038257,1.83333614961508,1.76661453053671,1.36215627276668,1.22551046542099
54,1.65503723746999,1.55045829793904,1.69473426804921,1.62417971890606,1.75132437711965
55,1.88333338863037,1.90070373176168,1.89999577766691,1.90070373176168,1.83333084036574
56,2.23257646707693,2.03414884069301,2.30421265930735,2.43051241346631,2.16671991753353
57,1.91666992041013,1.83330885962468,1.90000337887942,1.96672847820954,1.99668136793008
58,1.81115937680691,1.90070373176168,1.90070373176168,1.90116288863025,1.80333414527831
59,1.91674760421157,1.90070373176168,1.90000191940045,1.90070373176168,1.99668136787774
60,1.90070373176168,1.90070373176168,1.90070373176168,1.90070373176168,1.90070373176168
62,0.161590041490684,0.089440410898096,0.278630826840255,0.0819823452486114,0.244819803395697
