subNo,Across,sz1,sz2,sz3,sz4
1,0.607638888888889,0.583333333333333,0.736111111111111,0.611111111111111,0.5
2,0.649305555555556,0.75,0.638888888888889,0.638888888888889,0.569444444444444
3,0.777777777777778,0.763888888888889,0.861111111111111,0.763888888888889,0.722222222222222
4,0.833333333333333,0.861111111111111,0.833333333333333,0.833333333333333,0.805555555555556
5,0.458333333333333,0.638888888888889,0.444444444444444,0.388888888888889,0.361111111111111
6,0.732638888888889,0.680555555555556,0.736111111111111,0.791666666666667,0.722222222222222
7,0.777777777777778,0.833333333333333,0.791666666666667,0.75,0.736111111111111
8,0.774305555555556,0.847222222222222,0.777777777777778,0.75,0.722222222222222
9,0.767361111111111,0.791666666666667,0.75,0.763888888888889,0.763888888888889
10,0.510416666666667,0.652777777777778,0.541666666666667,0.458333333333333,0.388888888888889
11,0.607638888888889,0.75,0.652777777777778,0.527777777777778,0.5
12,0.329861111111111,0.458333333333333,0.347222222222222,0.263888888888889,0.25
13,0.444444444444444,0.486111111111111,0.486111111111111,0.458333333333333,0.347222222222222
14,0.680555555555556,0.791666666666667,0.722222222222222,0.625,0.583333333333333
15,0.645833333333333,0.736111111111111,0.652777777777778,0.666666666666667,0.527777777777778
16,0.489583333333333,0.666666666666667,0.513888888888889,0.430555555555556,0.347222222222222
17,0.548611111111111,0.694444444444444,0.527777777777778,0.541666666666667,0.430555555555556
18,0.413194444444444,0.5,0.430555555555556,0.402777777777778,0.319444444444444
19,0.579861111111111,0.736111111111111,0.611111111111111,0.513888888888889,0.458333333333333
20,0.864583333333333,0.833333333333333,0.888888888888889,0.861111111111111,0.875
21,0.840277777777778,0.847222222222222,0.819444444444444,0.847222222222222,0.847222222222222
22,0.427083333333333,0.611111111111111,0.416666666666667,0.388888888888889,0.291666666666667
23,0.847222222222222,0.861111111111111,0.847222222222222,0.805555555555556,0.875
24,0.600694444444444,0.847222222222222,0.638888888888889,0.444444444444444,0.472222222222222
25,0.611111111111111,0.777777777777778,0.625,0.555555555555556,0.486111111111111
26,0.451388888888889,0.611111111111111,0.486111111111111,0.375,0.333333333333333
27,0.857638888888889,0.861111111111111,0.861111111111111,0.833333333333333,0.875
28,0.826388888888889,0.833333333333333,0.833333333333333,0.819444444444444,0.819444444444444
29,0.444444444444444,0.652777777777778,0.486111111111111,0.333333333333333,0.305555555555556
30,0.336805555555556,0.472222222222222,0.347222222222222,0.277777777777778,0.25
31,0.524305555555556,0.680555555555556,0.583333333333333,0.472222222222222,0.361111111111111
32,0.690972222222222,0.777777777777778,0.708333333333333,0.638888888888889,0.638888888888889
33,0.840277777777778,0.833333333333333,0.861111111111111,0.833333333333333,0.833333333333333
34,0.875,0.861111111111111,0.875,0.875,0.888888888888889
35,0.597222222222222,0.736111111111111,0.625,0.541666666666667,0.486111111111111
36,0.673611111111111,0.791666666666667,0.666666666666667,0.638888888888889,0.597222222222222
37,0.118055555555556,0.152777777777778,0.125,0.0972222222222222,0.0972222222222222
38,0.798611111111111,0.847222222222222,0.805555555555556,0.777777777777778,0.763888888888889
39,0.840277777777778,0.861111111111111,0.805555555555556,0.847222222222222,0.847222222222222
40,0.295138888888889,0.458333333333333,0.305555555555556,0.194444444444444,0.222222222222222
41,0.701388888888889,0.819444444444444,0.694444444444444,0.666666666666667,0.625
42,0.232638888888889,0.361111111111111,0.277777777777778,0.166666666666667,0.125
43,0.729166666666667,0.777777777777778,0.763888888888889,0.722222222222222,0.652777777777778
44,0.708333333333333,0.833333333333333,0.694444444444444,0.680555555555556,0.625
45,0.371527777777778,0.458333333333333,0.333333333333333,0.347222222222222,0.347222222222222
46,0.822916666666667,0.875,0.833333333333333,0.791666666666667,0.791666666666667
47,0.822916666666667,0.861111111111111,0.833333333333333,0.805555555555556,0.791666666666667
48,0.763888888888889,0.833333333333333,0.791666666666667,0.708333333333333,0.722222222222222
49,0.798611111111111,0.833333333333333,0.805555555555556,0.777777777777778,0.777777777777778
50,0.322916666666667,0.361111111111111,0.347222222222222,0.319444444444444,0.263888888888889
51,0.791666666666667,0.847222222222222,0.805555555555556,0.791666666666667,0.722222222222222
52,0.215277777777778,0.208333333333333,0.263888888888889,0.180555555555556,0.208333333333333
